Property,Value
Font,DataCardKey1.Font
FontWeight,DataCardKey1.FontWeight
Height,DataCardKey1.Height
PaddingBottom,DataCardKey1.PaddingBottom
PaddingLeft,DataCardKey1.PaddingLeft
PaddingRight,DataCardKey1.PaddingRight
PaddingTop,DataCardKey1.PaddingTop
Size,DataCardKey1.Size
Width,DataCardKey1.Width
X,DataCardKey1.X
Y,DataCardKey1.Y
